Transaction_Name,Year,Count,Amount
Financial Services,2022,15890940,18685750905.08986
Merchant payments,2022,20697877074,11945130819423.213
Others,2022,47653110,29221193298.97975
Peer-to-peer payments,2022,14997364800,50046139199393.98
Recharge & bill payments,2022,3542640402,2227471488429.966
