Transaction_Name,Year,Count,Amount
Financial Services,2023,16354223,20590857017.0
Merchant payments,2023,25603895102,12710760236140.0
Others,2023,28092384,20889563235.0
Peer-to-peer payments,2023,16096687988,51990342197842.0
Recharge & bill payments,2023,3496968136,2702406344104.0
