State,Year,Brand,Count,Percentage
Andhra Pradesh,2020,Samsung,12084797,0.8043569543715867
Andhra Pradesh,2020,Vivo,10212979,0.6785928644901758
Andhra Pradesh,2020,Xiaomi,15247587,1.0147418721165296
Andhra Pradesh,2021,Apple,1897670,0.09296826898974532
Andhra Pradesh,2021,Huawei,1741076,0.08614527182157844
Andhra Pradesh,2021,Lenovo,1008813,0.050072554685814785
Andhra Pradesh,2021,Motorola,1982580,0.09807247667480477
Andhra Pradesh,2021,OnePlus,1735157,0.08466258615106974
Andhra Pradesh,2021,Oppo,9146751,0.44811691020530386
Andhra Pradesh,2021,Others,5109040,0.2519887644972657
Andhra Pradesh,2021,Realme,8012949,0.38986120943527486
Andhra Pradesh,2021,Samsung,15362453,0.7559151413870244
Andhra Pradesh,2021,Vivo,15179806,0.7426358126622137
Andhra Pradesh,2021,Xiaomi,20357270,0.9995610034899044
Andhra Pradesh,2022,Apple,594003,0.024897485957616393
Andhra Pradesh,2022,Huawei,401477,0.0168278072161352
Andhra Pradesh,2022,Lenovo,222586,0.009329636061370064
Andhra Pradesh,2022,Motorola,463652,0.019433856662711732
Andhra Pradesh,2022,OnePlus,580737,0.024341444912851066
Andhra Pradesh,2022,Oppo,2780974,0.11656382394280212
Andhra Pradesh,2022,Others,1309987,0.0549077747707672
Andhra Pradesh,2022,Realme,2864092,0.12004769395326531
Andhra Pradesh,2022,Samsung,4124296,0.17286882683261443
Andhra Pradesh,2022,Vivo,4772765,0.20004924144575534
Andhra Pradesh,2022,Xiaomi,5743382,0.24073240824411116
Arunachal Pradesh,2018,Apple,4167,0.10527720596298036
Arunachal Pradesh,2018,Gionee,3505,0.08989787863291347
Arunachal Pradesh,2018,Lenovo,2461,0.06434056775488853
Arunachal Pradesh,2018,Motorola,2523,0.06257292719155721
Arunachal Pradesh,2018,OnePlus,2593,0.06619663098555875
Arunachal Pradesh,2018,Oppo,21132,0.5143038686086142
Arunachal Pradesh,2018,Others,14787,0.37338742711231726
Arunachal Pradesh,2018,Realme,9529,0.23611425241859837
Arunachal Pradesh,2018,Samsung,32874,0.8103323853101542
Arunachal Pradesh,2018,Vivo,28964,0.7009879595566482
Arunachal Pradesh,2018,Xiaomi,39617,0.9765888964657695
Arunachal Pradesh,2019,Apple,9359,0.09102876374365343
Arunachal Pradesh,2019,Gionee,6701,0.06517659497136477
Arunachal Pradesh,2019,Huawei,5105,0.04938839384911253
Arunachal Pradesh,2019,Motorola,5739,0.055994431390111614
Arunachal Pradesh,2019,OnePlus,5290,0.05178640947068657
Arunachal Pradesh,2019,Oppo,59886,0.5757156656463204
Arunachal Pradesh,2019,Others,29845,0.29194580882558135
Arunachal Pradesh,2019,Realme,24058,0.23154969473953874
Arunachal Pradesh,2019,Samsung,84063,0.8118550439880114
Arunachal Pradesh,2019,Vivo,83368,0.8010481205460388
Arunachal Pradesh,2019,Xiaomi,100898,0.9745110728295804
Arunachal Pradesh,2020,Apple,14459,0.07641951013790281
Arunachal Pradesh,2020,Gionee,9548,0.0506280337340064
Arunachal Pradesh,2020,Huawei,8487,0.04475932346870181
Arunachal Pradesh,2020,Motorola,7761,0.04121948658499878
Arunachal Pradesh,2020,OnePlus,7611,0.040360510676337516
Arunachal Pradesh,2020,Oppo,118948,0.6213693317617403
Arunachal Pradesh,2020,Others,46183,0.2435169307479298
Arunachal Pradesh,2020,Realme,51348,0.26689449017894523
Arunachal Pradesh,2020,Samsung,150511,0.7890307214391361
Arunachal Pradesh,2020,Vivo,170828,0.8902493037470762
Arunachal Pradesh,2020,Xiaomi,178254,0.935552357523225
Arunachal Pradesh,2021,Apple,21538,0.07601455538752
Arunachal Pradesh,2021,Gionee,10250,0.03657747739263692
Arunachal Pradesh,2021,Huawei,10023,0.03572663936835874
Arunachal Pradesh,2021,Motorola,9022,0.03213138935064469
Arunachal Pradesh,2021,OnePlus,12072,0.042341577596556684
Arunachal Pradesh,2021,Oppo,177003,0.6268837211235234
Arunachal Pradesh,2021,Others,60422,0.21455720521902846
Arunachal Pradesh,2021,Realme,99483,0.3488976662530393
Arunachal Pradesh,2021,Samsung,206503,0.7337339631664894
Arunachal Pradesh,2021,Vivo,265645,0.9402189159188504
Arunachal Pradesh,2021,Xiaomi,257868,0.9129168892233518
Arunachal Pradesh,2022,Apple,7110,0.021202425008722516
Arunachal Pradesh,2022,Gionee,2482,0.007401465382791742
Arunachal Pradesh,2022,Huawei,2515,0.007499873262579062
Arunachal Pradesh,2022,Infinix,2358,0.00703169031934848
Arunachal Pradesh,2022,OnePlus,4423,0.01318963794846409
Arunachal Pradesh,2022,Oppo,52153,0.1555232168044874
Arunachal Pradesh,2022,Others,17151,0.051145258976736975
Arunachal Pradesh,2022,Realme,36430,0.10863633517127444
Arunachal Pradesh,2022,Samsung,56027,0.16707570548012607
Arunachal Pradesh,2022,Vivo,78763,0.2348757525966261
Arunachal Pradesh,2022,Xiaomi,75927,0.2264186390488431
Assam,2018,Apple,32834,0.05809928609547543
Assam,2018,Asus,52671,0.07687036148766124
Assam,2018,Gionee,58687,0.08653383209683656
Assam,2018,Huawei,17882,0.017207119563596194
Assam,2018,Lenovo,58492,0.08673353055021252
Assam,2018,Motorola,60313,0.08806820516488514
Assam,2018,Oppo,314634,0.4465038709123383
Assam,2018,Others,389460,0.5753333176230431
Assam,2018,Realme,188664,0.27192377702373655
Assam,2018,Samsung,444557,0.6383315353683925
Assam,2018,Vivo,420180,0.588037369435105
Assam,2018,Xiaomi,741932,1.0663577946787175
Assam,2019,Asus,108231,0.06792419523285206
Assam,2019,Gionee,114666,0.07159303041740059
Assam,2019,Huawei,115632,0.07177711962095815
Assam,2019,Lenovo,101285,0.06409505474567358
Assam,2019,Motorola,116169,0.0728686991447437
Assam,2019,Oppo,819604,0.5075952827055786
Assam,2019,Others,738931,0.46272836522942096
Assam,2019,Realme,444526,0.2752531693095636
Assam,2019,Samsung,1020183,0.635814046564088
Assam,2019,Vivo,1138968,0.70497026853627
Assam,2019,Xiaomi,1713761,1.0653807684934506
Assam,2020,Asus,147912,0.055713078673160686
Assam,2020,Gionee,151903,0.05728855859417657
Assam,2020,Huawei,181670,0.06838926086319626
Assam,2020,Lenovo,128099,0.04837984372135212
Assam,2020,Motorola,155447,0.05871303077835218
Assam,2020,Oppo,1459603,0.5460379349632404
Assam,2020,Others,1089483,0.40976966557707506
Assam,2020,Realme,879879,0.3277485770688436
Assam,2020,Samsung,1619898,0.6079721984884835
Assam,2020,Vivo,2097699,0.7834347076493478
Assam,2020,Xiaomi,2761392,1.036553143622772
Assam,2021,Apple,178054,0.046974640389141405
Assam,2021,Asus,136007,0.03766888116753364
Assam,2021,Gionee,127934,0.035315221341882495
Assam,2021,Huawei,215635,0.0574406023326684
Assam,2021,Motorola,171587,0.045771283990796906
Assam,2021,OnePlus,45171,0.010730496145587541
Assam,2021,Oppo,2111095,0.5589258849062716
Assam,2021,Others,1423647,0.3776154844304063
Assam,2021,Realme,1586924,0.41670131839705205
Assam,2021,Samsung,2118131,0.5628827202422272
Assam,2021,Tecno,46362,0.011013421493917106
Assam,2021,Vivo,3162896,0.8369983928433263
Assam,2021,Xiaomi,3780132,1.001961652319189
Assam,2022,Apple,59621,0.013270966919074948
Assam,2022,Huawei,54586,0.01215023230480242
Assam,2022,Infinix,47589,0.010592778462485663
Assam,2022,OnePlus,52178,0.01161423847140257
Assam,2022,Oppo,636621,0.1417047052378929
Assam,2022,Others,390847,0.08699816520051133
Assam,2022,Realme,573316,0.12761372117502848
Assam,2022,Samsung,577746,0.1285997895645473
Assam,2022,Tecno,55957,0.012455401551310391
Assam,2022,Vivo,949299,0.21130332643382246
Assam,2022,Xiaomi,1094829,0.24369667467912154
Bihar,2018,Apple,168337,0.05063581686572004
Bihar,2018,Huawei,207077,0.05981267448012882
Bihar,2018,Lenovo,286659,0.08579119848784349
Bihar,2018,Micromax,205746,0.062305174443769304
Bihar,2018,Motorola,340591,0.10097483749331342
Bihar,2018,Oppo,1471807,0.4265214570550141
Bihar,2018,Others,1573412,0.4678349953289483
Bihar,2018,Realme,992415,0.2896898095631098
Bihar,2018,Samsung,2891448,0.8441424142397954
Bihar,2018,Vivo,1612485,0.4646306352981018
Bihar,2018,Xiaomi,3950899,1.1476609867442555
Bihar,2019,Apple,196093,0.029939250006735862
Bihar,2019,Huawei,477678,0.06793775636373535
Bihar,2019,Infinix,79605,0.009542362190453107
Bihar,2019,Lenovo,454817,0.06560284220059573
Bihar,2019,Micromax,300292,0.04325988488187275
Bihar,2019,Motorola,574176,0.08245955934345928
Bihar,2019,Oppo,3238198,0.46085497965584954
Bihar,2019,Others,2762956,0.39576630177978017
Bihar,2019,Realme,2119704,0.3006902911583228
Bihar,2019,Samsung,5838845,0.8333637848456834
Bihar,2019,Vivo,3688532,0.5241911435574288
Bihar,2019,Xiaomi,8326519,1.1863918440160832
Bihar,2020,HMD Global,203177,0.016488388561728427
Bihar,2020,Huawei,744443,0.06692819956485091
Bihar,2020,Infinix,494125,0.0440310947799218
Bihar,2020,Lenovo,582877,0.05257813619310967
Bihar,2020,Micromax,170444,0.017097516077253926
Bihar,2020,Motorola,756218,0.06818496756937643
Bihar,2020,Oppo,5351275,0.4792890510271831
Bihar,2020,Others,3864382,0.34797343748772785
Bihar,2020,Realme,3948388,0.35243673366430006
Bihar,2020,Samsung,8936309,0.8019702543444288
Bihar,2020,Vivo,6416999,0.5738551266207524
Bihar,2020,Xiaomi,13139410,1.1791670941093666
Bihar,2021,Apple,144021,0.008307634854929755
Bihar,2021,Huawei,872705,0.056325398209002675
Bihar,2021,Infinix,1010811,0.06389607046494622
Bihar,2021,Lenovo,460851,0.030841086349788976
Bihar,2021,Motorola,860448,0.055457714785666475
Bihar,2021,Oppo,7680065,0.49176876183261387
Bihar,2021,Others,4615051,0.29722837620003595
Bihar,2021,Realme,6910595,0.43959468951241526
Bihar,2021,Samsung,11791472,0.757662694606223
Bihar,2021,Tecno,712351,0.045085724607225375
Bihar,2021,Vivo,9811555,0.6273322639415729
Bihar,2021,Xiaomi,17545249,1.1264995846355794
Bihar,2022,Apple,158500,0.008574678525293786
Bihar,2022,Huawei,215004,0.011631483795913345
Bihar,2022,Infinix,387204,0.020947317499734105
Bihar,2022,Motorola,220543,0.011931137703494432
Bihar,2022,Oppo,2339620,0.1265709108602388
Bihar,2022,Others,1205491,0.0652157589282961
Bihar,2022,Realme,2443092,0.13216863411808863
Bihar,2022,Samsung,3283813,0.1776507306762181
Bihar,2022,Tecno,280644,0.015182536782665927
Bihar,2022,Vivo,3062549,0.16568058765274424
Bihar,2022,Xiaomi,4888198,0.26444622345731256
Chandigarh,2018,Apple,45108,0.3456627489847436
Chandigarh,2018,Huawei,2838,0.015966514202771356
Chandigarh,2018,Lenovo,10550,0.08261625596809274
Chandigarh,2018,Micromax,6002,0.05248783645229893
Chandigarh,2018,Motorola,16963,0.13198274754917932
Chandigarh,2018,OnePlus,19479,0.15178111060162947
Chandigarh,2018,Oppo,52212,0.3942474274461799
Chandigarh,2018,Others,57348,0.44500065421190677
Chandigarh,2018,Realme,17251,0.13288292097752813
Chandigarh,2018,Samsung,104390,0.798681966526187
Chandigarh,2018,Vivo,64212,0.48163719615427236
Chandigarh,2018,Xiaomi,126774,0.9670526209252104
Chandigarh,2019,Apple,83353,0.33166292468246683
Chandigarh,2019,Huawei,15995,0.06361612522393671
Chandigarh,2019,Lenovo,14494,0.05817747007817806
Chandigarh,2019,Motorola,26205,0.10498113751078778
Chandigarh,2019,OnePlus,31496,0.12563278353237065
Chandigarh,2019,Oppo,116869,0.4626416734534751
Chandigarh,2019,Others,92779,0.37046592658044486
Chandigarh,2019,Realme,32390,0.1285299704267675
Chandigarh,2019,Samsung,201263,0.7995690522322225
Chandigarh,2019,Vivo,148409,0.5870965828023205
Chandigarh,2019,Xiaomi,243288,0.9676263534770295
Chandigarh,2020,Apple,110752,0.3160392303701195
Chandigarh,2020,HMD Global,12488,0.034391271405968885
Chandigarh,2020,Huawei,20832,0.059502161267285525
Chandigarh,2020,Lenovo,3862,0.012343114287266648
Chandigarh,2020,Motorola,29806,0.08533282031118916
Chandigarh,2020,OnePlus,39102,0.11180411933111101
Chandigarh,2020,Oppo,180487,0.5134696494128814
Chandigarh,2020,Others,112200,0.32097663096780454
Chandigarh,2020,Realme,50523,0.14361689992350582
Chandigarh,2020,Samsung,279199,0.7957696470040594
Chandigarh,2020,Vivo,235309,0.6688550047016268
Chandigarh,2020,Xiaomi,328668,0.9378994510171812
Chandigarh,2021,Apple,147846,0.31744792065014066
Chandigarh,2021,HMD Global,18197,0.03935014360043635
Chandigarh,2021,Huawei,23469,0.05073119171069055
Chandigarh,2021,Motorola,32438,0.07003871559950908
Chandigarh,2021,OnePlus,50475,0.10826275174561792
Chandigarh,2021,Oppo,254185,0.5456964544181115
Chandigarh,2021,Others,124475,0.26862245940840035
Chandigarh,2021,Realme,86071,0.1835149081505612
Chandigarh,2021,Samsung,361636,0.7782810186350083
Chandigarh,2021,Vivo,343662,0.7373206928899769
Chandigarh,2021,Xiaomi,418671,0.900733743191547
Chandigarh,2022,Apple,45080,0.08324269825999124
Chandigarh,2022,HMD Global,4529,0.008363047480468065
Chandigarh,2022,Huawei,5812,0.01073217751302283
Chandigarh,2022,Motorola,8378,0.015470437578132358
Chandigarh,2022,OnePlus,15554,0.028721316076661577
Chandigarh,2022,Oppo,76330,0.14094754121972342
Chandigarh,2022,Others,32951,0.060845832971716314
Chandigarh,2022,Realme,30911,0.057078860823305
Chandigarh,2022,Samsung,100254,0.18512452243471966
Chandigarh,2022,Vivo,103673,0.19143789389325805
Chandigarh,2022,Xiaomi,118077,0.2180356717490015
Chhattisgarh,2018,Apple,87167,0.08094763807493319
Chhattisgarh,2018,Lenovo,71898,0.0675218387545453
Chhattisgarh,2018,Micromax,373521,0.3293804144113605
Chhattisgarh,2018,Motorola,70667,0.06535668376512482
Chhattisgarh,2018,OnePlus,87453,0.0815216596670143
Chhattisgarh,2018,Oppo,428983,0.3849662163551205
Chhattisgarh,2018,Others,443885,0.40974509270329035
Chhattisgarh,2018,Realme,256648,0.232410354553634
Chhattisgarh,2018,Samsung,803503,0.7292107560467597
Chhattisgarh,2018,Vivo,736391,0.6552441955575059
Chhattisgarh,2018,Xiaomi,1067612,0.9636951501107114
Chhattisgarh,2019,Apple,155099,0.06715775417309228
Chhattisgarh,2019,Lenovo,106059,0.04638984229502162
Chhattisgarh,2019,Micromax,863960,0.37484599301346194
Chhattisgarh,2019,Motorola,117773,0.05119114380177356
