State_Name,Year,Total_Count,Amount
Andaman and Nicobar Islands,2020,446274,1296423416.3566341
Andhra Pradesh,2020,763616699,1677246580653.8508
Arunachal Pradesh,2020,3547905,9388678101.718946
Assam,2020,47135224,110492731052.45584
Bihar,2020,266563978,650297855404.3844
Chandigarh,2020,8861323,20210041054.420692
Chhattisgarh,2020,98023091,168870698969.73965
Daman and Diu,2020,4807834,7095440039.008439
Delhi,2020,364821900,632919032875.125
Goa,2020,9080241,15862123990.465124
Gujarat,2020,231865328,427697735578.5428
Haryana,2020,226926755,432253934294.45715
Himachal Pradesh,2020,21602414,39961478636.56672
Jammu and Kashmir,2020,12776978,38561427680.04326
Jharkhand,2020,104924330,194525224779.24847
Karnataka,2020,1216153117,1803284146281.24
Kerala,2020,87068356,149264570608.49973
Ladakh,2020,831785,2848883646.6639185
Lakshadweep,2020,32610,81863441.88618582
Madhya Pradesh,2020,417939741,764636116482.1661
Maharashtra,2020,1099666770,1678817323722.219
Manipur,2020,4949889,16015727273.011726
Meghalaya,2020,2489265,5315171568.828207
Mizoram,2020,929381,2543737303.9905143
Nagaland,2020,2479761,6815188546.79967
Odisha,2020,262069662,484456441630.35205
Puducherry,2020,6688209,12693914904.672981
Punjab,2020,69506576,155557338145.4804
Rajasthan,2020,543585579,1063784597563.2385
Sikkim,2020,2377319,5428297593.988987
Tamil Nadu,2020,300281109,562710808075.926
Telangana,2020,931480581,1895187203703.4631
Tripura,2020,4946797,8881905202.411655
Uttar Pradesh,2020,503663873,957279233292.3136
Uttarakhand,2020,47611760,86148518258.20505
West Bengal,2020,304222327,552731584289.0833
