State_Name,Year,District,Total_Count,Amount
Haryana,2018,fatehabad district,648747,1071805034.1198003
Haryana,2018,gurugram district,10830246,18871502905.42079
Haryana,2018,hisar district,1462651,3420811166.439462
Haryana,2018,jhajjar district,815855,1748727123.285962
Haryana,2018,jind district,718916,1769366943.2630124
Haryana,2018,kaithal district,601879,1426516457.1150992
Haryana,2018,karnal district,1032850,2156584274.1430526
Haryana,2018,kurukshetra district,719668,1584307001.2189767
Haryana,2018,mahendragarh district,566586,1191898354.4633055
Haryana,2018,mewat district,556874,1412916864.9888465
Haryana,2018,palwal district,783636,1442004732.2237167
Haryana,2018,panchkula district,625696,1361636753.3549504
Haryana,2018,panipat district,1209053,2324628012.3609114
Haryana,2018,rewari district,1348820,2414632563.6650887
Haryana,2018,rohtak district,843737,1985911666.9925208
Haryana,2018,sirsa district,912516,1480376082.521206
Haryana,2018,sonipat district,1176714,2482562530.352002
Haryana,2018,yamunanagar district,630430,1138203017.2460704
Haryana,2019,ambala district,2422404,5444010496.175554
Haryana,2019,bhiwani district,1834101,5085656880.1869135
Haryana,2019,charkhi dadri district,492736,1352541908.7377377
Haryana,2019,faridabad district,17603559,22285832401.596516
Haryana,2019,fatehabad district,1114604,2838389671.632314
Haryana,2019,gurugram district,43890172,56156359396.23312
Haryana,2019,hisar district,3830063,9621193414.436049
Haryana,2019,jhajjar district,2838136,6140203991.69723
Haryana,2019,jind district,1627516,4843566833.88446
Haryana,2019,kaithal district,1379137,3941296389.928651
Haryana,2019,karnal district,3675005,9148781653.40605
Haryana,2019,kurukshetra district,2202584,4555292236.699334
Haryana,2019,mahendragarh district,1891292,4269387655.5638647
Haryana,2019,mewat district,2252872,5944607626.311351
Haryana,2019,palwal district,3795498,6384120211.82162
Haryana,2019,panchkula district,1746370,3642446790.948388
Haryana,2019,panipat district,4298198,10660763973.735912
Haryana,2019,rewari district,4626749,7877808142.87849
Haryana,2019,rohtak district,4258276,11542615808.444016
Haryana,2019,sirsa district,1708159,3978496249.8556843
Haryana,2019,sonipat district,4022703,9363205937.116922
Haryana,2019,yamunanagar district,1536973,3325456932.1007166
Haryana,2020,ambala district,5438553,12396273886.841276
Haryana,2020,bhiwani district,4596626,13480599243.131031
Haryana,2020,charkhi dadri district,1384356,4018754223.3577814
Haryana,2020,faridabad district,32465161,50152416280.20531
Haryana,2020,fatehabad district,2526377,6564071509.199251
Haryana,2020,gurugram district,74060595,94645501508.8284
Haryana,2020,hisar district,8578478,22467234755.349842
Haryana,2020,jhajjar district,6448362,14330444662.30292
Haryana,2020,jind district,3749853,10931913284.664509
Haryana,2020,kaithal district,2706544,7892351347.435844
Haryana,2020,karnal district,7692363,18779348170.890118
Haryana,2020,kurukshetra district,4997393,11703838670.044422
Haryana,2020,mahendragarh district,5480663,12589075644.27424
Haryana,2020,mewat district,7895854,19397976181.484352
Haryana,2020,palwal district,10069663,19100471627.572456
Haryana,2020,panchkula district,3194452,6312220203.18819
Haryana,2020,panipat district,9188037,23553927111.095417
Haryana,2020,rewari district,11140373,20241132301.327774
Haryana,2020,rohtak district,7925409,22021417639.45524
Haryana,2020,sirsa district,3613307,9063272540.377209
Haryana,2020,sonipat district,10729325,26142825765.554184
Haryana,2020,yamunanagar district,3045011,6468867737.877257
Haryana,2021,ambala district,13425976,26957999632.342003
Haryana,2021,bhiwani district,10253393,29573538395.09035
Haryana,2021,charkhi dadri district,3064147,9001490999.393261
Haryana,2021,faridabad district,69975887,113973788674.22449
Haryana,2021,fatehabad district,5100224,13424197509.89715
Haryana,2021,gurugram district,168466657,204796638004.8567
Haryana,2021,hisar district,19292893,49245579958.98347
Haryana,2021,jhajjar district,13920118,30988278756.995552
Haryana,2021,jind district,6814986,20111367022.621384
Haryana,2021,kaithal district,4874519,14195570038.481506
Haryana,2021,karnal district,16143717,34564875855.40115
Haryana,2021,kurukshetra district,12477690,26808658923.563046
Haryana,2021,mahendragarh district,12393208,28558814569.038338
Haryana,2021,mewat district,19209814,44737383701.64733
Haryana,2021,palwal district,21667823,40980640802.646065
Haryana,2021,panchkula district,6109270,11473309614.874592
Haryana,2021,panipat district,21610646,47436590651.22536
Haryana,2021,rewari district,25476034,45705722579.75091
Haryana,2021,rohtak district,16454833,38829568709.35633
Haryana,2021,sirsa district,7432124,19478364831.455246
Haryana,2021,sonipat district,25933449,55445790938.90975
Haryana,2021,yamunanagar district,5982900,13075176710.02602
Haryana,2022,ambala district,24903001,43322429388.12123
Haryana,2022,bhiwani district,21279145,53770000990.15944
Haryana,2022,charkhi dadri district,7181237,17895138320.496525
Haryana,2022,faridabad district,120492885,187390467982.17563
Haryana,2022,fatehabad district,10685615,25792214315.274605
Haryana,2022,gurugram district,322760865,376060408876.59924
Haryana,2022,hisar district,48191717,103307264191.5715
Haryana,2022,jhajjar district,28811282,56944610501.66919
Haryana,2022,jind district,14169155,36770770522.75143
Haryana,2022,kaithal district,9011539,24148265724.24329
Haryana,2022,karnal district,34914353,66975745922.37422
Haryana,2022,kurukshetra district,20550456,41095228959.49451
Haryana,2022,mahendragarh district,22768069,48202545245.459366
Haryana,2022,mewat district,41411581,78024172333.45206
Haryana,2022,palwal district,42330073,72417461542.6971
Haryana,2022,panchkula district,11508790,18831816860.273575
Haryana,2022,panipat district,46140236,88402866493.63487
Haryana,2022,rewari district,45909838,77748232085.36665
Haryana,2022,rohtak district,38273053,77320001924.16936
Haryana,2022,sirsa district,13679194,33074273307.34117
Haryana,2022,sonipat district,55979575,104229795181.40244
Haryana,2022,yamunanagar district,11747087,23359521691.686226
Haryana,2023,ambala district,19568008,31359823178.0
Haryana,2023,bhiwani district,29893915,68280942921.0
Haryana,2023,charkhi dadri district,9119589,21500807627.0
Haryana,2023,faridabad district,182093867,244215792096.0
Haryana,2023,fatehabad district,13042763,29157619596.0
Haryana,2023,gurugram district,497488663,496872106134.0
Haryana,2023,hisar district,47859821,99301948182.0
Haryana,2023,jhajjar district,43869567,76362363635.0
Haryana,2023,jind district,18161086,43310053889.0
Haryana,2023,kaithal district,11557311,28118021813.0
Haryana,2023,karnal district,31971092,59006466029.0
Haryana,2023,kurukshetra district,19084526,36555022262.0
Haryana,2023,mahendragarh district,35226264,65847855806.0
Haryana,2023,mewat district,65597287,106821346818.0
Haryana,2023,palwal district,63570015,95755541325.0
Haryana,2023,panchkula district,16120715,22257510773.0
Haryana,2023,panipat district,39050756,68627984181.0
Haryana,2023,rewari district,69285646,103060793783.0
Haryana,2023,rohtak district,34929356,67979278566.0
Haryana,2023,sirsa district,21316119,44890426519.0
Haryana,2023,sonipat district,54432937,91834275931.0
Haryana,2023,yamunanagar district,17134829,29268752048.0
Himachal Pradesh,2018,bilaspur district,141973,210697533.8718803
Himachal Pradesh,2018,chamba district,205216,546544957.3519412
Himachal Pradesh,2018,hamirpur district,208538,338191925.08265126
Himachal Pradesh,2018,kangra district,470811,914567687.3227437
Himachal Pradesh,2018,kinnaur district,47023,110548167.03241166
Himachal Pradesh,2018,kullu district,169024,386103981.14450616
Himachal Pradesh,2018,lahul and spiti district,3096,7124762.216602275
Himachal Pradesh,2018,mandi district,286849,469072548.78748333
Himachal Pradesh,2018,shimla district,402953,905140047.0141139
Himachal Pradesh,2018,sirmaur district,292230,444318372.79716253
Himachal Pradesh,2018,solan district,861752,1352086876.8717394
Himachal Pradesh,2018,una district,274785,502850649.2274969
Himachal Pradesh,2019,bilaspur district,345193,585487588.6347153
Himachal Pradesh,2019,chamba district,366977,645945683.5189689
Himachal Pradesh,2019,hamirpur district,722511,1190985667.4462218
Himachal Pradesh,2019,kangra district,1427704,2593688262.806078
Himachal Pradesh,2019,kinnaur district,125755,276006747.23456025
Himachal Pradesh,2019,kullu district,571811,1277653844.0952601
Himachal Pradesh,2019,lahul and spiti district,9589,20670970.18665234
Himachal Pradesh,2019,mandi district,1008044,1977105037.2238345
Himachal Pradesh,2019,shimla district,2766965,6942487735.317593
Himachal Pradesh,2019,sirmaur district,647665,1042987892.7447618
Himachal Pradesh,2019,solan district,2365261,3604581882.6659327
Himachal Pradesh,2019,una district,565375,942946423.098669
Himachal Pradesh,2020,bilaspur district,813692,1372497083.5621057
Himachal Pradesh,2020,chamba district,858605,1365276349.8601584
Himachal Pradesh,2020,hamirpur district,1292784,2076549897.9823856
Himachal Pradesh,2020,kangra district,3428451,5558680348.968354
Himachal Pradesh,2020,kinnaur district,301618,594497065.4800229
Himachal Pradesh,2020,kullu district,1183245,2220507085.8404713
Himachal Pradesh,2020,lahul and spiti district,77811,136431788.48327208
Himachal Pradesh,2020,mandi district,2015885,3512149567.494133
Himachal Pradesh,2020,shimla district,4973238,12233751950.460138
Himachal Pradesh,2020,sirmaur district,1292616,2136756720.643465
Himachal Pradesh,2020,solan district,4083540,6509376059.51848
Himachal Pradesh,2020,una district,1280929,2245004718.2735667
Himachal Pradesh,2021,bilaspur district,1374838,2652848320.5842113
Himachal Pradesh,2021,chamba district,1572151,2824390805.906971
Himachal Pradesh,2021,hamirpur district,2312465,4014815062.6440268
Himachal Pradesh,2021,kangra district,6323148,11167233888.7543
Himachal Pradesh,2021,kinnaur district,512460,1186800874.8874457
Himachal Pradesh,2021,kullu district,2870226,5994599016.893707
Himachal Pradesh,2021,lahul and spiti district,190563,432242129.6901084
Himachal Pradesh,2021,mandi district,3529918,6583248219.932673
Himachal Pradesh,2021,shimla district,11725634,21677129430.31924
Himachal Pradesh,2021,sirmaur district,2547900,4158680685.6859417
Himachal Pradesh,2021,solan district,7896995,11901037832.584911
Himachal Pradesh,2021,una district,2972664,5469637753.166947
Himachal Pradesh,2022,bilaspur district,2628940,4459010478.018518
Himachal Pradesh,2022,chamba district,3373563,5337870302.1062765
Himachal Pradesh,2022,hamirpur district,3849615,5933205458.095032
Himachal Pradesh,2022,kangra district,13474917,21305539440.806572
Himachal Pradesh,2022,kinnaur district,869466,1798705376.1508803
Himachal Pradesh,2022,kullu district,5997105,11066908286.630995
Himachal Pradesh,2022,lahul and spiti district,397961,866703291.2411332
Himachal Pradesh,2022,mandi district,6449514,10534122598.64432
Himachal Pradesh,2022,shimla district,28813264,44270083901.53292
Himachal Pradesh,2022,sirmaur district,4878701,7022317273.866707
Himachal Pradesh,2022,solan district,15268510,18399020894.80875
Himachal Pradesh,2022,una district,5097999,8394194017.186981
Himachal Pradesh,2023,bilaspur district,3402272,5140137700.0
Himachal Pradesh,2023,chamba district,4475060,6159151028.0
Himachal Pradesh,2023,hamirpur district,5391189,7337361008.0
Himachal Pradesh,2023,kangra district,17187074,24081323985.0
Himachal Pradesh,2023,kinnaur district,1377044,2129717390.0
Himachal Pradesh,2023,kullu district,7960200,13235608170.0
Himachal Pradesh,2023,lahul and spiti district,612570,1082627012.0
Himachal Pradesh,2023,mandi district,7699151,11118186296.0
Himachal Pradesh,2023,shimla district,10631973,16031583651.0
Himachal Pradesh,2023,sirmaur district,7578274,9077442757.0
Himachal Pradesh,2023,solan district,23631038,22663525370.0
Himachal Pradesh,2023,una district,5754530,8413918722.0
Jammu and Kashmir,2018,anantnag district,284476,274836822.2646244
Jammu and Kashmir,2018,bandipore district,217298,155521371.70998985
Jammu and Kashmir,2018,baramulla district,592196,552395972.9990411
Jammu and Kashmir,2018,budgam district,291202,409376147.07898444
Jammu and Kashmir,2018,doda district,41374,107873062.07437848
Jammu and Kashmir,2018,ganderbal district,142768,140517318.3279595
Jammu and Kashmir,2018,jammu district,565767,1407127531.5924404
Jammu and Kashmir,2018,kathua district,129685,243173397.3397094
Jammu and Kashmir,2018,kishtwar district,18740,51069250.04865946
Jammu and Kashmir,2018,kulgam district,123607,118993833.38833532
Jammu and Kashmir,2018,kupwara district,118028,317357141.41522646
Jammu and Kashmir,2018,mirpur district,10519,32144680.302161947
Jammu and Kashmir,2018,muzaffarabad district,566,2124758.4454916683
Jammu and Kashmir,2018,poonch district,4121826,7222803304.8737
Jammu and Kashmir,2018,pulwama district,199024,281800144.766612
Jammu and Kashmir,2018,rajouri district,92396,262307048.59813482
Jammu and Kashmir,2018,ramban district,44759,105414034.00041378
Jammu and Kashmir,2018,reasi district,56602,140110846.57779837
Jammu and Kashmir,2018,samba district,108063,231745210.50187403
Jammu and Kashmir,2018,shopian district,32962,53634354.30220414
Jammu and Kashmir,2018,srinagar district,438813,803191779.6717237
Jammu and Kashmir,2018,udhampur district,132494,342480730.6346898
Jammu and Kashmir,2019,anantnag district,211869,421522688.92472184
Jammu and Kashmir,2019,bandipore district,99303,188663774.9152271
Jammu and Kashmir,2019,baramulla district,378947,754853962.0413516
Jammu and Kashmir,2019,budgam district,304012,553052698.6590395
Jammu and Kashmir,2019,doda district,61607,178765356.14648083
Jammu and Kashmir,2019,ganderbal district,107223,203238407.93937713
Jammu and Kashmir,2019,jammu district,1375442,4215253040.9752426
Jammu and Kashmir,2019,kathua district,199203,437340276.87908113
Jammu and Kashmir,2019,kishtwar district,31766,91685927.46581599
Jammu and Kashmir,2019,kulgam district,129520,163533613.4003487
Jammu and Kashmir,2019,kupwara district,177521,511751977.8491554
Jammu and Kashmir,2019,mirpur district,14653,58271017.21994156
Jammu and Kashmir,2019,muzaffarabad district,969,3070677.5180457756
Jammu and Kashmir,2019,poonch district,1995425,2935806730.8478503
Jammu and Kashmir,2019,pulwama district,180606,434145479.8068647
Jammu and Kashmir,2019,rajouri district,155677,500655891.7596439
Jammu and Kashmir,2019,ramban district,91062,257764515.59583482
Jammu and Kashmir,2019,reasi district,99098,260576181.67404953
Jammu and Kashmir,2019,samba district,153004,398740325.2755511
Jammu and Kashmir,2019,shopian district,45721,93998259.77265415
Jammu and Kashmir,2019,srinagar district,1478361,4458857313.525726
Jammu and Kashmir,2019,udhampur district,196807,604356049.497514
Jammu and Kashmir,2020,anantnag district,521646,1227713959.9548469
Jammu and Kashmir,2020,bandipore district,201680,506727617.036373
Jammu and Kashmir,2020,baramulla district,773971,1960338564.7515965
Jammu and Kashmir,2020,budgam district,589647,1596460004.6133647
Jammu and Kashmir,2020,doda district,241905,577445677.1792513
Jammu and Kashmir,2020,ganderbal district,190324,491320579.69191897
Jammu and Kashmir,2020,jammu district,4225909,14595769092.243587
Jammu and Kashmir,2020,kathua district,515598,1109873132.955958
Jammu and Kashmir,2020,kishtwar district,121434,293139865.3056253
Jammu and Kashmir,2020,kulgam district,235371,491043761.40756696
Jammu and Kashmir,2020,kupwara district,604972,1684569491.9331796
Jammu and Kashmir,2020,mirpur district,54208,189982083.90754548
Jammu and Kashmir,2020,muzaffarabad district,4530,17411699.21775773
Jammu and Kashmir,2020,poonch district,276441,851074038.0076561
Jammu and Kashmir,2020,pulwama district,446564,1271754498.5669522
Jammu and Kashmir,2020,rajouri district,455902,1375644176.1476293
Jammu and Kashmir,2020,ramban district,176896,455663954.19295365
Jammu and Kashmir,2020,reasi district,231281,539768814.3872757
Jammu and Kashmir,2020,samba district,431607,1087695619.1137652
Jammu and Kashmir,2020,shopian district,139354,347360792.6671879
Jammu and Kashmir,2020,srinagar district,1761778,6341951126.5556965
Jammu and Kashmir,2020,udhampur district,575960,1548719130.205566
Jammu and Kashmir,2021,anantnag district,2060717,3192335666.6258826
Jammu and Kashmir,2021,bandipore district,677713,1264838703.8317406
Jammu and Kashmir,2021,baramulla district,2404712,4604734707.597935
Jammu and Kashmir,2021,budgam district,1989005,3922805152.9272976
Jammu and Kashmir,2021,doda district,647004,1288995852.1058793
Jammu and Kashmir,2021,ganderbal district,618925,1105650765.0870295
Jammu and Kashmir,2021,jammu district,18275995,48076895328.53826
Jammu and Kashmir,2021,kathua district,1502480,2956872364.4973416
Jammu and Kashmir,2021,kishtwar district,345040,723162344.5995206
Jammu and Kashmir,2021,kulgam district,814064,1246357014.8763566
Jammu and Kashmir,2021,kupwara district,1770930,3918955650.038905
Jammu and Kashmir,2021,mirpur district,119199,441771817.140609
Jammu and Kashmir,2021,muzaffarabad district,14797,54736244.423936635
Jammu and Kashmir,2021,poonch district,665968,1845101647.597784
Jammu and Kashmir,2021,pulwama district,1418844,2953578766.9546995
Jammu and Kashmir,2021,rajouri district,1077922,3001362458.8782353
Jammu and Kashmir,2021,ramban district,554939,1243401787.6999848
Jammu and Kashmir,2021,reasi district,864128,1890086698.148221
Jammu and Kashmir,2021,samba district,1319888,3085006470.802883
Jammu and Kashmir,2021,shopian district,457982,856012867.7769008
Jammu and Kashmir,2021,srinagar district,7653467,18803740381.418568
Jammu and Kashmir,2021,udhampur district,1713339,4000383703.9791307
Jammu and Kashmir,2022,anantnag district,4545556,6540654368.873423
Jammu and Kashmir,2022,bandipore district,1457900,2360112729.163335
Jammu and Kashmir,2022,baramulla district,5015384,8336186500.752491
Jammu and Kashmir,2022,budgam district,4218055,7221560079.870426
Jammu and Kashmir,2022,doda district,1471190,2223671066.653515
Jammu and Kashmir,2022,ganderbal district,1503418,2610462618.182884
Jammu and Kashmir,2022,jammu district,29691344,56045234188.219666
Jammu and Kashmir,2022,kathua district,3296544,5930259568.324322
Jammu and Kashmir,2022,kishtwar district,838856,1359768598.3486102
Jammu and Kashmir,2022,kulgam district,1973532,2654356158.280403
Jammu and Kashmir,2022,kupwara district,3878666,6755128758.304618
Jammu and Kashmir,2022,mirpur district,225370,641320189.0352561
Jammu and Kashmir,2022,muzaffarabad district,42960,125078747.56287156
Jammu and Kashmir,2022,poonch district,1527820,3470121023.826296
Jammu and Kashmir,2022,pulwama district,3109897,5749201738.870262
Jammu and Kashmir,2022,rajouri district,2268531,5133177758.242223
Jammu and Kashmir,2022,ramban district,1337711,2406395255.995902
Jammu and Kashmir,2022,reasi district,2181803,4013317513.8352256
Jammu and Kashmir,2022,samba district,3240424,6206572789.8615
Jammu and Kashmir,2022,shopian district,1154265,1803349528.3901348
Jammu and Kashmir,2022,srinagar district,13028623,25750554423.695557
Jammu and Kashmir,2022,udhampur district,3901761,7344521276.247691
Jammu and Kashmir,2023,anantnag district,9644100,11417577367.0
Jammu and Kashmir,2023,bandipore district,3096816,3855440967.0
Jammu and Kashmir,2023,baramulla district,11467264,14245768003.0
Jammu and Kashmir,2023,budgam district,8892384,12034666451.0
Jammu and Kashmir,2023,doda district,3486055,4015400749.0
Jammu and Kashmir,2023,ganderbal district,3257962,4627314698.0
Jammu and Kashmir,2023,jammu district,37014400,53372641042.0
Jammu and Kashmir,2023,kathua district,6897531,9931634991.0
Jammu and Kashmir,2023,kishtwar district,1950071,2387301926.0
Jammu and Kashmir,2023,kulgam district,4617856,4664377726.0
Jammu and Kashmir,2023,kupwara district,8595991,11106019508.0
Jammu and Kashmir,2023,mirpur district,492755,1026204048.0
Jammu and Kashmir,2023,muzaffarabad district,98782,209698731.0
Jammu and Kashmir,2023,poonch district,3716804,6199664746.0
Jammu and Kashmir,2023,pulwama district,6493351,9532855729.0
Jammu and Kashmir,2023,rajouri district,5260363,8914202847.0
Jammu and Kashmir,2023,ramban district,3190953,4286400425.0
Jammu and Kashmir,2023,reasi district,4881040,7087606658.0
Jammu and Kashmir,2023,samba district,7050543,10259342044.0
Jammu and Kashmir,2023,shopian district,2803192,3137895718.0
Jammu and Kashmir,2023,srinagar district,16497765,24703616779.0
Jammu and Kashmir,2023,udhampur district,8013144,11452270234.0
Jharkhand,2018,bokaro district,3065145,2610657469.644551
Jharkhand,2018,chatra district,250490,602324347.7470341
Jharkhand,2018,deoghar district,470992,674489426.4764557
Jharkhand,2018,dhanbad district,3988281,3286992381.8716617
Jharkhand,2018,dumka district,350968,359091563.4889203
Jharkhand,2018,east singhbhum district,1877301,2540208585.139277
Jharkhand,2018,garhwa district,387037,1188405242.8675718
Jharkhand,2018,giridih district,1002799,1431393352.2578323
Jharkhand,2018,godda district,278537,451932641.92309535
Jharkhand,2018,gumla district,91757,162459087.96429676
Jharkhand,2018,hazaribagh district,1362498,2049548934.3275056
Jharkhand,2018,jamtara district,199009,268301616.51025873
Jharkhand,2018,khunti district,73527,139603953.376052
Jharkhand,2018,koderma district,421329,830971706.305212
Jharkhand,2018,latehar district,166109,450121293.55551577
Jharkhand,2018,lohardaga district,101808,180360551.23077148
Jharkhand,2018,pakur district,140714,172918351.67993325
Jharkhand,2018,palamu district,616311,1479861651.1759999
Jharkhand,2018,ramgarh district,727777,982766527.1697216
Jharkhand,2018,ranchi district,2896066,4446193864.479584
Jharkhand,2018,sahebganj district,226932,443614192.7159212
Jharkhand,2018,saraikela kharsawan district,734788,765314685.2669797
Jharkhand,2018,simdega district,49853,99390337.18955216
Jharkhand,2018,west singhbhum district,257637,382328343.4453591
Jharkhand,2019,bokaro district,6026938,6187446581.870858
Jharkhand,2019,chatra district,743254,1845568382.6614995
Jharkhand,2019,deoghar district,1177463,1905102159.1473632
Jharkhand,2019,dhanbad district,7925963,7404843815.065605
Jharkhand,2019,dumka district,691340,953579030.1077577
Jharkhand,2019,east singhbhum district,5052150,7068408132.953427
Jharkhand,2019,garhwa district,1001377,3212534005.0933814
Jharkhand,2019,giridih district,2151452,3617707578.6450777
Jharkhand,2019,godda district,717056,1389386728.5523803
Jharkhand,2019,gumla district,243358,498334785.47482413
Jharkhand,2019,hazaribagh district,3325946,5850743113.632424
Jharkhand,2019,jamtara district,358095,547523522.9116052
Jharkhand,2019,khunti district,186032,407453738.05599487
Jharkhand,2019,koderma district,920163,1941653416.5624793
Jharkhand,2019,latehar district,533291,1561683604.6844814
Jharkhand,2019,lohardaga district,239636,516863715.45091045
Jharkhand,2019,pakur district,330048,509070034.1654467
Jharkhand,2019,palamu district,1644221,4555349272.808918
Jharkhand,2019,ramgarh district,1753727,2657064414.654437
Jharkhand,2019,ranchi district,13993535,24790946932.723812
Jharkhand,2019,sahebganj district,464764,1131848208.2761917
Jharkhand,2019,saraikela kharsawan district,1702877,1919933671.8482428
Jharkhand,2019,simdega district,132036,301152205.1292342
Jharkhand,2019,west singhbhum district,670462,1089463074.3840883
Jharkhand,2020,bokaro district,11082685,14587247612.00904
Jharkhand,2020,chatra district,2147109,5109638436.965559
Jharkhand,2020,deoghar district,2646929,4643993941.063877
Jharkhand,2020,dhanbad district,11553357,16489165116.723118
Jharkhand,2020,dumka district,1291234,2446369667.564596
Jharkhand,2020,east singhbhum district,10776537,16242577101.050085
Jharkhand,2020,garhwa district,2786364,8216333726.263748
Jharkhand,2020,giridih district,5527275,10788741537.572815
Jharkhand,2020,godda district,1577170,3520734162.996431
Jharkhand,2020,gumla district,803156,1690482359.272956
Jharkhand,2020,hazaribagh district,7782705,14909150797.269371
Jharkhand,2020,jamtara district,659049,1308982675.5339804
Jharkhand,2020,khunti district,771013,1816977758.6010206
Jharkhand,2020,koderma district,2539605,5173635156.285759
Jharkhand,2020,latehar district,1402353,3974372189.820019
Jharkhand,2020,lohardaga district,720497,1524216622.0184417
Jharkhand,2020,pakur district,683961,1430141874.1850822
Jharkhand,2020,palamu district,4740678,12473516135.266762
Jharkhand,2020,ramgarh district,4593672,7364782565.036023
Jharkhand,2020,ranchi district,24186336,48978243754.04762
Jharkhand,2020,sahebganj district,1201463,3211163823.7268043
Jharkhand,2020,saraikela kharsawan district,3189876,4427735791.965266
Jharkhand,2020,simdega district,437826,984027171.7452984
Jharkhand,2020,west singhbhum district,1823480,3212994802.266102
Jharkhand,2021,bokaro district,25773160,34348065305.71608
Jharkhand,2021,chatra district,5367300,12860773944.688168
Jharkhand,2021,deoghar district,6140459,10850618879.952599
Jharkhand,2021,dhanbad district,26485806,39654271515.83072
Jharkhand,2021,dumka district,2809902,5756146588.750172
Jharkhand,2021,east singhbhum district,24520822,36864260317.98972
Jharkhand,2021,garhwa district,6738386,19440545456.27892
Jharkhand,2021,giridih district,16357933,31679601755.3027
Jharkhand,2021,godda district,3596810,8188849789.304324
Jharkhand,2021,gumla district,1803583,4194233640.4230733
Jharkhand,2021,hazaribagh district,21719074,39786669564.71721
Jharkhand,2021,jamtara district,1206074,2581440157.625756
Jharkhand,2021,khunti district,2917690,6044799294.550934
Jharkhand,2021,koderma district,7167654,14846556726.65135
Jharkhand,2021,latehar district,3351653,9010722278.169537
Jharkhand,2021,lohardaga district,1606164,3753387241.75188
Jharkhand,2021,pakur district,1601182,3899695523.59273
Jharkhand,2021,palamu district,12854175,31189234386.836647
Jharkhand,2021,ramgarh district,11107623,18152184261.252663
Jharkhand,2021,ranchi district,67124957,114366866828.93787
Jharkhand,2021,sahebganj district,3368809,8436962475.754887
Jharkhand,2021,saraikela kharsawan district,7031978,10435894794.991209
Jharkhand,2021,simdega district,955675,2598957950.414535
Jharkhand,2021,west singhbhum district,3821683,7149391877.672255
Jharkhand,2022,bokaro district,47758332,63843765242.93297
Jharkhand,2022,chatra district,12209494,25048295780.84188
Jharkhand,2022,deoghar district,14498861,23316022216.839878
Jharkhand,2022,dhanbad district,56277096,83309301276.49127
Jharkhand,2022,dumka district,6139841,11618807639.916918
Jharkhand,2022,east singhbhum district,64596305,95348043628.60234
Jharkhand,2022,garhwa district,15006336,33552321393.3613
Jharkhand,2022,giridih district,32238995,54951018435.90252
Jharkhand,2022,godda district,8545841,16182726740.223637
Jharkhand,2022,gumla district,3635928,8290438374.17054
Jharkhand,2022,hazaribagh district,44676641,73939466848.2754
Jharkhand,2022,jamtara district,2594379,5119236556.083925
Jharkhand,2022,khunti district,4061760,8244892164.510458
Jharkhand,2022,koderma district,15081369,28643976606.83285
Jharkhand,2022,latehar district,7402592,15709154585.010036
Jharkhand,2022,lohardaga district,3583843,7562088057.630522
Jharkhand,2022,pakur district,3658163,8841411509.812725
Jharkhand,2022,palamu district,27884077,55748903233.10134
Jharkhand,2022,ramgarh district,22232087,34230352116.63041
Jharkhand,2022,ranchi district,142670448,220568135574.38672
Jharkhand,2022,sahebganj district,7731323,16967263896.68243
Jharkhand,2022,saraikela kharsawan district,13841244,18645670203.13784
Jharkhand,2022,simdega district,1942492,5082970197.508986
Jharkhand,2022,west singhbhum district,7684462,12956794148.957912
Jharkhand,2023,bokaro district,72829356,88184952829.0
Jharkhand,2023,chatra district,21704951,37906141646.0
Jharkhand,2023,deoghar district,28825869,39532447186.0
Jharkhand,2023,dhanbad district,84938683,112742372956.0
Jharkhand,2023,dumka district,12637145,20036514514.0
Jharkhand,2023,east singhbhum district,71505669,89315978776.0
Jharkhand,2023,garhwa district,30006396,53418782423.0
Jharkhand,2023,giridih district,53640026,79389010392.0
Jharkhand,2023,godda district,15891800,25016431569.0
Jharkhand,2023,gumla district,7327949,13512386065.0
Jharkhand,2023,hazaribagh district,75184813,110134399006.0
Jharkhand,2023,jamtara district,5440413,8704614072.0
Jharkhand,2023,khunti district,4141577,7915351151.0
Jharkhand,2023,koderma district,27067826,45483482817.0
Jharkhand,2023,latehar district,14734383,24425326309.0
Jharkhand,2023,lohardaga district,7578056,12523286934.0
Jharkhand,2023,pakur district,7561773,16005721256.0
Jharkhand,2023,palamu district,50957793,84069246933.0
Jharkhand,2023,ramgarh district,37247674,50016670511.0
Jharkhand,2023,ranchi district,162561483,206891091191.0
Jharkhand,2023,sahebganj district,14510896,26230511071.0
Jharkhand,2023,saraikela kharsawan district,24564918,29037892211.0
Jharkhand,2023,simdega district,3653431,7993885607.0
Jharkhand,2023,west singhbhum district,13416542,19483990124.0
Karnataka,2018,bagalkote district,948251,1392633390.1778061
Karnataka,2018,ballari district,1704864,3300795268.963511
Karnataka,2018,belagavi district,1950176,3078813580.562318
Karnataka,2018,bengaluru rural district,1711419,3327473092.0221977
Karnataka,2018,bengaluru urban district,71689325,122079478553.90475
Karnataka,2018,bidar district,1076413,2137813441.8354611
Karnataka,2018,chamarajanagara district,254326,430562396.40354955
Karnataka,2018,chikkaballapura district,839716,1632284646.976983
Karnataka,2018,chikkamagaluru district,428825,798946980.3407187
Karnataka,2018,chitradurga district,651421,1273513897.150878
Karnataka,2018,dakshina kannada district,1384416,2423116159.9879446
Karnataka,2018,davanagere district,1002580,1771986867.1373816
