State_Name,Year,District,Total_Count,Amount
Andhra Pradesh,2023,guntur district,396528396,751036808541.0
Andhra Pradesh,2023,krishna district,423274776,784600518648.0
Andhra Pradesh,2023,kurnool district,246771524,489071405446.0
Andhra Pradesh,2023,prakasam district,221717076,471308827916.0
Andhra Pradesh,2023,spsr nellore district,247249833,485742306986.0
Andhra Pradesh,2023,srikakulam district,141225596,271386411480.0
Andhra Pradesh,2023,visakhapatnam district,559161926,910012908390.0
Andhra Pradesh,2023,vizianagaram district,130321478,242433109419.0
Andhra Pradesh,2023,west godavari district,274589885,545532494299.0
Andhra Pradesh,2023,ysr district,202669993,464568064880.0
Arunachal Pradesh,2018,anjaw district,293,598852.897023739
Arunachal Pradesh,2018,changlang district,33373,71512230.28231964
Arunachal Pradesh,2018,dibang valley district,139,359611.0472923467
Arunachal Pradesh,2018,east kameng district,3830,11368841.528786654
Arunachal Pradesh,2018,east siang district,33081,79976609.5073593
Arunachal Pradesh,2018,kamle district,366,423627.3887094477
Arunachal Pradesh,2018,kra daadi district,1640,6343596.992020055
Arunachal Pradesh,2018,kurung kumey district,866,1285867.9285355015
Arunachal Pradesh,2018,lepa rada district,2254,5935774.830388202
Arunachal Pradesh,2018,lohit district,36572,105230422.04189384
Arunachal Pradesh,2018,longding district,18824,55505347.64562373
Arunachal Pradesh,2018,lower dibang valley district,10234,20663364.92128581
Arunachal Pradesh,2018,lower siang district,9092,12096294.45647973
Arunachal Pradesh,2018,lower subansiri district,9224,21803632.266523015
Arunachal Pradesh,2018,namsai district,16950,36776592.10083562
Arunachal Pradesh,2018,pakke kessang district,519,834799.3116680516
Arunachal Pradesh,2018,papum pare district,138093,355032707.1653931
Arunachal Pradesh,2018,shi yomi district,61,42483.80153055695
Arunachal Pradesh,2018,siang district,2025,5398069.172705627
Arunachal Pradesh,2018,tawang district,27600,80433375.72245046
Arunachal Pradesh,2018,tirap district,11895,22481658.443637393
Arunachal Pradesh,2018,upper siang district,1657,3582794.8155335155
Arunachal Pradesh,2018,upper subansiri district,6307,17264617.564201362
Arunachal Pradesh,2018,west kameng district,58718,172784988.1821791
Arunachal Pradesh,2018,west siang district,11616,39387804.17023057
Arunachal Pradesh,2019,anjaw district,14236,31416955.325982742
Arunachal Pradesh,2019,changlang district,99401,219360004.3418443
Arunachal Pradesh,2019,dibang valley district,669,2432961.0259567657
Arunachal Pradesh,2019,east kameng district,14457,48143994.087049834
Arunachal Pradesh,2019,east siang district,81331,215949659.6942736
Arunachal Pradesh,2019,kamle district,2481,4452290.643282947
Arunachal Pradesh,2019,kra daadi district,7534,21438313.21702455
Arunachal Pradesh,2019,kurung kumey district,5089,14314742.903414408
Arunachal Pradesh,2019,lepa rada district,10804,22919214.033543523
Arunachal Pradesh,2019,lohit district,88375,213770306.41577387
Arunachal Pradesh,2019,longding district,35318,104678926.36127272
Arunachal Pradesh,2019,lower dibang valley district,30914,63756897.81027899
Arunachal Pradesh,2019,lower siang district,19332,35492639.99516478
Arunachal Pradesh,2019,lower subansiri district,31207,78056306.76114294
Arunachal Pradesh,2019,namsai district,49980,100565766.52422592
Arunachal Pradesh,2019,pakke kessang district,3403,7866642.200786552
Arunachal Pradesh,2019,papum pare district,418586,1115553685.7503908
Arunachal Pradesh,2019,shi yomi district,291,479339.5055884579
Arunachal Pradesh,2019,siang district,10332,23648357.71284143
Arunachal Pradesh,2019,tawang district,83236,259575883.6160077
Arunachal Pradesh,2019,tirap district,41453,92915159.19039965
Arunachal Pradesh,2019,upper siang district,7817,23417380.717923768
Arunachal Pradesh,2019,upper subansiri district,25795,82920648.7878711
Arunachal Pradesh,2019,west kameng district,192398,569246471.808454
Arunachal Pradesh,2019,west siang district,40432,113451646.56163561
Arunachal Pradesh,2020,anjaw district,39621,112447330.36810759
Arunachal Pradesh,2020,changlang district,271831,585560125.5833758
Arunachal Pradesh,2020,dibang valley district,3967,13249489.921201965
Arunachal Pradesh,2020,east kameng district,48931,168948070.87659165
Arunachal Pradesh,2020,east siang district,247765,621544293.3686472
Arunachal Pradesh,2020,kamle district,10060,22846701.246423863
Arunachal Pradesh,2020,kra daadi district,21966,72416279.44674915
Arunachal Pradesh,2020,kurung kumey district,15113,48301713.69634297
Arunachal Pradesh,2020,lepa rada district,38810,88689661.23050609
Arunachal Pradesh,2020,lohit district,239945,551953433.734738
Arunachal Pradesh,2020,longding district,81438,228109216.38579512
Arunachal Pradesh,2020,lower dibang valley district,101744,217311044.36511138
Arunachal Pradesh,2020,lower siang district,48606,101737536.72122675
Arunachal Pradesh,2020,lower subansiri district,99480,237794795.353572
Arunachal Pradesh,2020,namsai district,141865,289717039.32242984
Arunachal Pradesh,2020,pakke kessang district,12135,21866364.219514977
Arunachal Pradesh,2020,papum pare district,1090979,3057808278.9248977
Arunachal Pradesh,2020,shi yomi district,2043,11826367.196774771
Arunachal Pradesh,2020,siang district,38414,84403389.37479462
Arunachal Pradesh,2020,tawang district,199642,628607042.9662048
Arunachal Pradesh,2020,tirap district,113369,290624303.82431376
Arunachal Pradesh,2020,upper siang district,50604,164226780.62874776
Arunachal Pradesh,2020,upper subansiri district,86182,257044499.1577194
Arunachal Pradesh,2020,west kameng district,411388,1173356746.0088015
Arunachal Pradesh,2020,west siang district,132007,338287597.79636514
Arunachal Pradesh,2021,anjaw district,74838,229510367.05515388
Arunachal Pradesh,2021,changlang district,451868,1207160424.69193
Arunachal Pradesh,2021,dibang valley district,8990,44984183.63105329
Arunachal Pradesh,2021,east kameng district,90023,398076485.6982738
Arunachal Pradesh,2021,east siang district,487718,1359074346.5327578
Arunachal Pradesh,2021,kamle district,23149,79372857.70280789
Arunachal Pradesh,2021,kra daadi district,35111,135046631.49313688
Arunachal Pradesh,2021,kurung kumey district,27469,116844577.96260393
Arunachal Pradesh,2021,lepa rada district,86352,298308914.9619939
Arunachal Pradesh,2021,lohit district,432717,1033133967.8405623
Arunachal Pradesh,2021,longding district,125336,398593225.4074053
Arunachal Pradesh,2021,lower dibang valley district,190090,505030313.43943006
Arunachal Pradesh,2021,lower siang district,75380,199525451.03706858
Arunachal Pradesh,2021,lower subansiri district,176248,569349207.1856512
Arunachal Pradesh,2021,namsai district,295020,661601532.8747983
Arunachal Pradesh,2021,pakke kessang district,19391,49509262.914832816
Arunachal Pradesh,2021,papum pare district,2602867,7321582335.708662
Arunachal Pradesh,2021,shi yomi district,9011,56177865.51194797
Arunachal Pradesh,2021,siang district,70737,225850323.46301764
Arunachal Pradesh,2021,tawang district,312825,1236684207.0374017
Arunachal Pradesh,2021,tirap district,178156,571598619.011206
Arunachal Pradesh,2021,upper siang district,116410,432033641.611814
Arunachal Pradesh,2021,upper subansiri district,164641,666892201.0354817
Arunachal Pradesh,2021,west kameng district,742283,2291453545.7455215
Arunachal Pradesh,2021,west siang district,246729,804444734.3666749
Arunachal Pradesh,2022,anjaw district,114534,362032344.82668734
Arunachal Pradesh,2022,changlang district,846653,2068568181.7103746
Arunachal Pradesh,2022,dibang valley district,12812,70213512.78269964
Arunachal Pradesh,2022,east kameng district,203159,694229947.3151109
Arunachal Pradesh,2022,east siang district,1077610,2324704473.1053925
Arunachal Pradesh,2022,kamle district,65385,179031081.45319307
Arunachal Pradesh,2022,kra daadi district,64888,247298331.9341899
Arunachal Pradesh,2022,kurung kumey district,49406,205291642.70133743
Arunachal Pradesh,2022,lepa rada district,164445,466714502.9576487
Arunachal Pradesh,2022,lohit district,909496,1861091178.8730488
Arunachal Pradesh,2022,longding district,217532,605892362.1892555
Arunachal Pradesh,2022,lower dibang valley district,438095,1088519382.2179928
Arunachal Pradesh,2022,lower siang district,153754,369987426.5481156
Arunachal Pradesh,2022,lower subansiri district,419642,1152975014.0622663
Arunachal Pradesh,2022,namsai district,610420,1135080869.378942
Arunachal Pradesh,2022,pakke kessang district,47267,108960884.4393801
Arunachal Pradesh,2022,papum pare district,6176991,12792974371.26056
Arunachal Pradesh,2022,shi yomi district,16667,113231743.15565805
Arunachal Pradesh,2022,siang district,132611,379902095.5672031
Arunachal Pradesh,2022,tawang district,513277,1874201367.953745
Arunachal Pradesh,2022,tirap district,304370,842084745.9963417
Arunachal Pradesh,2022,upper siang district,204416,647267456.4741919
Arunachal Pradesh,2022,upper subansiri district,301231,1045147869.7525698
Arunachal Pradesh,2022,west kameng district,1361647,3498788366.478113
Arunachal Pradesh,2022,west siang district,526812,1535588331.7300458
Arunachal Pradesh,2023,anjaw district,173459,455975542.0
Arunachal Pradesh,2023,changlang district,1822277,3577653980.0
Arunachal Pradesh,2023,dibang valley district,27153,121474938.0
Arunachal Pradesh,2023,east kameng district,610803,1314365012.0
Arunachal Pradesh,2023,east siang district,2035105,3416252748.0
Arunachal Pradesh,2023,kamle district,159223,303380302.0
Arunachal Pradesh,2023,kra daadi district,152030,414676805.0
Arunachal Pradesh,2023,kurung kumey district,113656,330950971.0
Arunachal Pradesh,2023,lepa rada district,350398,697165176.0
Arunachal Pradesh,2023,lohit district,1776345,2904067323.0
Arunachal Pradesh,2023,longding district,388404,828121617.0
Arunachal Pradesh,2023,lower dibang valley district,966418,1807241799.0
Arunachal Pradesh,2023,lower siang district,341473,655676545.0
Arunachal Pradesh,2023,lower subansiri district,1081230,2093686369.0
Arunachal Pradesh,2023,namsai district,1212324,1792229508.0
Arunachal Pradesh,2023,pakke kessang district,102721,166138514.0
Arunachal Pradesh,2023,papum pare district,12958524,20645075743.0
Arunachal Pradesh,2023,shi yomi district,33432,181791585.0
Arunachal Pradesh,2023,siang district,312682,659472277.0
Arunachal Pradesh,2023,tawang district,1002679,2927618576.0
Arunachal Pradesh,2023,tirap district,594981,1262706502.0
Arunachal Pradesh,2023,upper siang district,389170,918635265.0
Arunachal Pradesh,2023,upper subansiri district,707348,1939378246.0
Arunachal Pradesh,2023,west kameng district,2569297,5141618260.0
Arunachal Pradesh,2023,west siang district,1324614,2772314601.0
Assam,2018,baksa district,172533,262184827.4278697
Assam,2018,barpeta district,541412,758694148.8978765
Assam,2018,biswanath district,129729,167784808.67303637
