State_Name,Year,Registered_Users
Andaman and Nicobar Islands,2023,289068
Andhra Pradesh,2023,90799821
Arunachal Pradesh,2023,1279472
Assam,2023,17247918
Bihar,2023,71354492
Chandigarh,2023,2037328
Chhattisgarh,2023,22409145
Daman and Diu,2023,1640016
Delhi,2023,51330267
Goa,2023,2780036
Gujarat,2023,73216427
Haryana,2023,48958886
Himachal Pradesh,2023,8117184
Jammu and Kashmir,2023,5857618
Jharkhand,2023,26950546
Karnataka,2023,117438130
Kerala,2023,33729207
Ladakh,2023,347162
Lakshadweep,2023,22764
Madhya Pradesh,2023,75154781
Maharashtra,2023,182388631
Manipur,2023,1559708
Meghalaya,2023,966988
Mizoram,2023,435190
Nagaland,2023,1053163
Odisha,2023,46271603
Puducherry,2023,1694800
Punjab,2023,27590460
Rajasthan,2023,89265822
Sikkim,2023,787997
Tamil Nadu,2023,81993698
Telangana,2023,83515560
Tripura,2023,2228586
Uttar Pradesh,2023,149506814
Uttarakhand,2023,13939683
West Bengal,2023,83526971
