State_Name,Year,District,Total_Count
Arunachal Pradesh,2018,tirap district,4323
Arunachal Pradesh,2018,upper siang district,2296
Arunachal Pradesh,2018,upper subansiri district,4200
Arunachal Pradesh,2018,west kameng district,16901
Arunachal Pradesh,2018,west siang district,5839
Arunachal Pradesh,2019,anjaw district,5031
Arunachal Pradesh,2019,changlang district,29901
Arunachal Pradesh,2019,dibang valley district,1012
Arunachal Pradesh,2019,east kameng district,4878
Arunachal Pradesh,2019,east siang district,31648
Arunachal Pradesh,2019,kamle district,934
Arunachal Pradesh,2019,kra daadi district,1917
Arunachal Pradesh,2019,kurung kumey district,2091
Arunachal Pradesh,2019,lepa rada district,3940
Arunachal Pradesh,2019,lohit district,23708
Arunachal Pradesh,2019,longding district,6053
Arunachal Pradesh,2019,lower dibang valley district,12498
Arunachal Pradesh,2019,lower siang district,6190
Arunachal Pradesh,2019,lower subansiri district,10834
Arunachal Pradesh,2019,namsai district,16820
Arunachal Pradesh,2019,pakke kessang district,913
Arunachal Pradesh,2019,papum pare district,142689
Arunachal Pradesh,2019,shi yomi district,916
Arunachal Pradesh,2019,siang district,3561
Arunachal Pradesh,2019,tawang district,24787
Arunachal Pradesh,2019,tirap district,11483
Arunachal Pradesh,2019,upper siang district,5787
Arunachal Pradesh,2019,upper subansiri district,10153
Arunachal Pradesh,2019,west kameng district,41645
Arunachal Pradesh,2019,west siang district,14923
Arunachal Pradesh,2020,anjaw district,8419
Arunachal Pradesh,2020,changlang district,59886
Arunachal Pradesh,2020,dibang valley district,1542
Arunachal Pradesh,2020,east kameng district,11275
Arunachal Pradesh,2020,east siang district,58642
Arunachal Pradesh,2020,kamle district,2266
Arunachal Pradesh,2020,kra daadi district,3738
Arunachal Pradesh,2020,kurung kumey district,3757
Arunachal Pradesh,2020,lepa rada district,8461
Arunachal Pradesh,2020,lohit district,43489
Arunachal Pradesh,2020,longding district,11982
Arunachal Pradesh,2020,lower dibang valley district,24924
Arunachal Pradesh,2020,lower siang district,11148
