State_Name,Year,Total_Count,Amount
Andaman and Nicobar Islands,2019,133104,473464756.9538249
Andhra Pradesh,2019,297180254,537791374418.9031
Arunachal Pradesh,2019,1314871,3465824194.992132
Assam,2019,22691015,47189496241.51637
Bihar,2019,131986927,265641475630.15298
Chandigarh,2019,5884404,12511344054.988678
Chhattisgarh,2019,45826483,76493959978.81874
Daman and Diu,2019,2559192,3855923788.4743834
Delhi,2019,254461712,372397227324.4737
Goa,2019,4114941,7991018040.660499
Gujarat,2019,134749574,221330052546.92752
Haryana,2019,113047107,198402034603.38794
Himachal Pradesh,2019,10922850,21100547734.97313
Jammu and Kashmir,2019,7487796,17725904167.68955
Jharkhand,2019,51985184,81863660124.86134
Karnataka,2019,610519200,791262270257.2551
Kerala,2019,35537598,60847539055.90493
Ladakh,2019,292019,1067934315.1684856
Lakshadweep,2019,12276,38950329.485020205
Madhya Pradesh,2019,199889462,298769094184.69836
Maharashtra,2019,526225123,737327096552.907
Manipur,2019,1317186,3447137687.2251544
Meghalaya,2019,1113558,2246623525.204466
Mizoram,2019,369310,1113660854.1182473
Nagaland,2019,936380,2447502004.6330247
Odisha,2019,169961871,217255933793.64008
Puducherry,2019,2810650,5510656609.76864
Punjab,2019,40087404,85084901248.66206
Rajasthan,2019,246343185,422169171829.82666
Sikkim,2019,1948037,3258113927.9166822
Tamil Nadu,2019,162453376,302562182998.0563
Telangana,2019,439968715,733876491896.2639
Tripura,2019,2627025,3831494007.538609
Uttar Pradesh,2019,271736968,432248763487.02936
Uttarakhand,2019,23431868,38074800401.360535
West Bengal,2019,257900590,266014506614.4728
