State_Name,Year,Registered_Users
Andaman and Nicobar Islands,2023,258615
Andhra Pradesh,2023,81533565
Arunachal Pradesh,2023,1129829
Assam,2023,15103575
Bihar,2023,62415174
Chandigarh,2023,1861125
Chhattisgarh,2023,20123171
Daman and Diu,2023,1437227
Delhi,2023,46415097
Goa,2023,2529777
Gujarat,2023,65492069
Haryana,2023,43800274
Himachal Pradesh,2023,7260475
Jammu and Kashmir,2023,5252755
Jharkhand,2023,23762591
Karnataka,2023,106920722
Kerala,2023,30776261
Ladakh,2023,313234
Lakshadweep,2023,20398
Madhya Pradesh,2023,66446838
Maharashtra,2023,164805957
Manipur,2023,1397572
Meghalaya,2023,859888
Mizoram,2023,387354
Nagaland,2023,932932
Odisha,2023,41175763
Puducherry,2023,1536016
Punjab,2023,24860290
Rajasthan,2023,79118740
Sikkim,2023,714053
Tamil Nadu,2023,73997732
Telangana,2023,75988876
Tripura,2023,1968010
Uttar Pradesh,2023,131903506
Uttarakhand,2023,12499686
West Bengal,2023,74756583
