State_Name,Year,Total_Count,Amount
Andaman and Nicobar Islands,2021,1672053,4925488080.627311
Andhra Pradesh,2021,1596801657,3663664651932.931
Arunachal Pradesh,2021,7043359,20891839223.92118
Assam,2021,124469767,290404405089.31006
Bihar,2021,703334157,1571988279912.9607
Chandigarh,2021,22936065,42203561314.793846
Chhattisgarh,2021,233081289,389143833302.3657
Daman and Diu,2021,11336882,15995079861.734585
Delhi,2021,858960235,1421423073338.7056
Goa,2021,27598206,46875779174.90345
Gujarat,2021,538851693,1008870041432.7802
Haryana,2021,506080308,919363346880.7814
Himachal Pradesh,2021,43828962,78062664021.05089
Jammu and Kashmir,2021,46967058,110476786395.54712
Jharkhand,2021,265428552,476090130557.1547
Karnataka,2021,2739468515,4101588572149.922
Kerala,2021,234359382,368516075314.544
Ladakh,2021,1896305,6778198791.432054
Lakshadweep,2021,49309,144227595.79918185
Madhya Pradesh,2021,1141064596,1930334818673.9106
Maharashtra,2021,2895082288,4319618186072.705
Manipur,2021,14018645,38025448543.992645
Meghalaya,2021,4195164,10866898384.594555
Mizoram,2021,1755773,5468394451.983021
Nagaland,2021,5094963,15190245080.53695
Odisha,2021,654572735,1148293622288.5615
Puducherry,2021,18551355,31551770500.532524
Punjab,2021,153834932,324924632736.3344
Rajasthan,2021,1428114308,2667641093913.622
Sikkim,2021,4521842,11828687431.960228
Tamil Nadu,2021,746228496,1321086760548.921
Telangana,2021,2307316195,4469364912637.332
Tripura,2021,7857745,16664559163.310612
Uttar Pradesh,2021,1159149994,2209431888096.0396
Uttarakhand,2021,116012398,193954612217.7237
West Bengal,2021,666894037,1347047122052.684
