State_Name,Year,Total_Count,Amount
Andaman and Nicobar Islands,2022,5437879,12110256728.721605
Andhra Pradesh,2022,2586610053,5583977087511.544
Arunachal Pradesh,2022,14933120,35669777484.86409
Assam,2022,325319689,639534078221.9307
Bihar,2022,1598987497,3093331786929.9575
Chandigarh,2022,50755993,80898004012.55627
Chhattisgarh,2022,550210373,811709461511.0747
Daman and Diu,2022,24217780,28812496253.6538
Delhi,2022,1732429663,2589348234429.1963
Goa,2022,56811513,87188734809.41183
Gujarat,2022,1106995692,1904701900776.363
Haryana,2022,992698746,1655083232360.4072
Himachal Pradesh,2022,91099555,139387681319.08932
Jammu and Kashmir,2022,89909610,164681004880.5372
Jharkhand,2022,565951909,927721056427.8442
Karnataka,2022,4903976066,7004230457883.669
Kerala,2022,453969659,630505499928.9595
Ladakh,2022,4022318,12068036019.891325
Lakshadweep,2022,66354,213262917.87627226
Madhya Pradesh,2022,2647690714,3950598228726.0493
Maharashtra,2022,5752204240,7845721683148.806
Manipur,2022,24200723,60074798679.16441
Meghalaya,2022,12011012,28543671706.686913
Mizoram,2022,2601706,7932522228.051155
Nagaland,2022,8327599,23619603937.280903
Odisha,2022,1409487166,2178024945984.3267
Puducherry,2022,30601717,47858742749.470985
Punjab,2022,306044202,573162274659.4839
Rajasthan,2022,2859248578,4870329655297.349
Sikkim,2022,9521480,21599802879.481823
Tamil Nadu,2022,1478892898,2410492817243.6523
Telangana,2022,5397508175,9306631143014.307
Tripura,2022,15744623,32226925429.450363
Uttar Pradesh,2022,2609210165,4448387209505.209
Uttarakhand,2022,244708049,367429460295.1301
West Bengal,2022,1338887218,2692527375013.185
