State_Name,Year,Registered_Users
Andaman and Nicobar Islands,2023,90218
Andhra Pradesh,2023,39888598
Arunachal Pradesh,2023,414312
Assam,2023,6431956
Bihar,2023,28057415
Chandigarh,2023,1006541
Chhattisgarh,2023,9260922
Daman and Diu,2023,673639
Delhi,2023,25736880
Goa,2023,1187832
Gujarat,2023,31980279
Haryana,2023,21867228
Himachal Pradesh,2023,3287937
Jammu and Kashmir,2023,2493684
Jharkhand,2023,11081065
Karnataka,2023,51254752
Kerala,2023,11181692
Ladakh,2023,147446
Lakshadweep,2023,7707
Madhya Pradesh,2023,31061480
Maharashtra,2023,80119804
Manipur,2023,508948
Meghalaya,2023,323658
Mizoram,2023,126309
Nagaland,2023,294003
Odisha,2023,20668849
Puducherry,2023,671677
Punjab,2023,11111157
Rajasthan,2023,37218474
Sikkim,2023,305055
Tamil Nadu,2023,31775240
Telangana,2023,38320680
Tripura,2023,918652
Uttar Pradesh,2023,60769159
Uttarakhand,2023,5977830
West Bengal,2023,36590500
