State_Name,Year,Registered_Users
Andaman and Nicobar Islands,2023,154809
Andhra Pradesh,2023,60110705
Arunachal Pradesh,2023,763938
Assam,2023,10672985
Bihar,2023,44608047
Chandigarh,2023,1403228
Chhattisgarh,2023,14408132
Daman and Diu,2023,1027749
Delhi,2023,35009478
Goa,2023,1825085
Gujarat,2023,47725550
Haryana,2023,32230337
Himachal Pradesh,2023,5243292
Jammu and Kashmir,2023,3609543
Jharkhand,2023,17110393
Karnataka,2023,78560078
Kerala,2023,20776629
Ladakh,2023,224078
Lakshadweep,2023,13782
Madhya Pradesh,2023,47827965
Maharashtra,2023,120775620
Manipur,2023,940205
Meghalaya,2023,584213
Mizoram,2023,249119
Nagaland,2023,602642
Odisha,2023,30411791
Puducherry,2023,1091307
Punjab,2023,17817084
Rajasthan,2023,57004160
Sikkim,2023,507868
Tamil Nadu,2023,52024191
Telangana,2023,56203730
Tripura,2023,1422469
Uttar Pradesh,2023,94722025
Uttarakhand,2023,9053855
West Bengal,2023,55293303
