State_Name,Year,Total_Count,Amount
Andaman and Nicobar Islands,2023,8082543,14663469614.0
Andhra Pradesh,2023,3926353831,7408504501544.0
Arunachal Pradesh,2023,31205746,57327668204.0
Assam,2023,419626942,691522970272.0
Bihar,2023,1966003040,3413477068700.0
Chandigarh,2023,34421457,42666086455.0
Chhattisgarh,2023,748173250,984625462739.0
Daman and Diu,2023,40531428,41460695851.0
Delhi,2023,1438599084,1981330876675.0
Goa,2023,77725388,110884352692.0
Gujarat,2023,1258737469,1950970433781.0
Haryana,2023,1340374132,1930384733112.0
Himachal Pradesh,2023,95700375,126470583089.0
Jammu and Kashmir,2023,157419122,218467901387.0
Jharkhand,2023,847929422,1207970487549.0
Karnataka,2023,6281827017,8233707220734.0
Kerala,2023,474450833,621766373991.0
Ladakh,2023,8132427,19290697427.0
Lakshadweep,2023,108195,277836460.0
Madhya Pradesh,2023,2561416623,3502289547658.0
Maharashtra,2023,6202664934,7720462696768.0
Manipur,2023,5730132,16657727346.0
Meghalaya,2023,15271759,32575980181.0
Mizoram,2023,3571938,9253559550.0
Nagaland,2023,9029902,24452096837.0
Odisha,2023,1649891520,2393599369891.0
Puducherry,2023,33654262,46053613602.0
Punjab,2023,346362291,574915835051.0
Rajasthan,2023,3231788191,5053594405766.0
Sikkim,2023,12614032,23450155879.0
Tamil Nadu,2023,1515727033,2325051489231.0
Telangana,2023,4980808353,7940934570365.0
Tripura,2023,24156992,42456636303.0
Uttar Pradesh,2023,3568590770,5335306703904.0
Uttarakhand,2023,288428576,370015178104.0
West Bengal,2023,1636689221,2977746895909.0
